id,label
1,1.0
10,4.1432693e-09
100,0.56224084
1000,1.0
10000,0.9991522
10001,5.084873e-08
10002,4.9699516e-05
10003,1.0
10004,0.99440825
10005,2.9685267e-12
10006,1.4498459e-09
10007,8.101254e-06
10008,1.7967168e-10
10009,0.011110038
1001,1.2051889e-07
10010,0.99999803
10011,1.0
10012,4.2739548e-11
10013,0.0016848445
10014,1.9394164e-07
10015,0.9996774
10016,5.460038e-05
10017,1.9937911e-09
10018,8.194971e-07
10019,6.2788875e-22
1002,0.99828047
10020,2.4841507e-12
10021,6.5975515e-17
10022,0.9999925
10023,0.99999976
10024,1.0
10025,0.99982387
10026,1.0
10027,1.0
10028,4.001016e-09
10029,0.999945
1003,1.0
10030,1.0
10031,0.0004017949
10032,1.3845827e-05
10033,8.77459e-05
10034,0.99997216
10035,0.6449235
10036,0.99998534
10037,0.6045327
10038,0.9020722
10039,0.9999981
1004,0.9999918
10040,3.407043e-16
10041,0.99999976
10042,0.37146753
10043,1.0
10044,2.710696e-08
10045,0.0035365224
10046,0.9971132
10047,0.99993694
10048,0.99955165
10049,2.5174597e-11
1005,7.439129e-19
10050,0.8444495
10051,0.81971693
10052,4.547054e-06
10053,0.24737096
10054,3.735857e-05
10055,0.00039547682
10056,0.99986196
10057,0.31829742
10058,0.99996126
10059,0.99170893
1006,1.0
10060,0.99999857
10061,4.6959878e-05
10062,1.2510623e-08
10063,0.9931948
10064,1.0
10065,0.00019261241
10066,0.0014980137
10067,0.023839206
10068,3.900168e-14
10069,0.0019701123
1007,0.9999995
10070,1.0
10071,3.6060302e-16
10072,5.2923275e-07
10073,0.2872408
10074,1.5787725e-08
10075,9.446933e-06
10076,5.1174725e-06
10077,3.9861094e-05
10078,0.99723923
10079,8.9747987e-10
1008,1.0396385e-05
10080,1.0
10081,0.29010475
10082,0.88475096
10083,1.8452559e-14
10084,1.0
10085,0.99998605
10086,1.0
10087,1.0
10088,3.5197936e-14
10089,0.0035078228
1009,1.0
10090,0.0055169463
10091,0.0002655983
10092,1.0
10093,0.019345969
10094,1.0
10095,2.2880635e-14
10096,1.0
10097,1.0
10098,0.99999917
10099,1.2105561e-08
101,1.8261873e-07
1010,0.9999888
10100,1.0
10101,0.99899304
10102,1.8653001e-09
10103,2.7934268e-08
10104,1.0
10105,0.9999187
10106,2.9687453e-06
10107,0.0038192868
10108,0.9997934
10109,3.4201098e-09
1011,9.666602e-11
10110,0.9999937
10111,5.24973e-07
10112,4.8203663e-10
10113,1.0
10114,1.7565178e-08
10115,7.568761e-10
10116,0.99999887
10117,9.312565e-05
10118,0.00043034554
10119,0.802552
1012,0.99997723
10120,5.7468025e-08
10121,1.8811358e-08
10122,0.00048229098
10123,0.8616394
10124,1.0
10125,5.200796e-07
10126,1.7823453e-12
10127,0.99999374
10128,0.0013438165
10129,0.9993615
1013,3.5521856e-11
10130,0.00016582012
10131,0.99991643
10132,3.3695207e-09
10133,8.334024e-05
10134,0.99982274
10135,1.0
10136,0.9999995
10137,8.6315154e-08
10138,1.0
10139,1.0
1014,1.0
10140,0.994493
10141,1.0
10142,0.92339957
10143,0.99510556
10144,0.9999584
10145,9.771908e-09
10146,1.0
10147,1.0
10148,0.99929476
10149,8.737199e-14
1015,4.1453216e-14
10150,1.3774694e-05
10151,1.6779051e-05
10152,2.3304132e-13
10153,0.99995434
10154,0.0005208254
10155,0.99974716
10156,0.00061294436
10157,0.05397755
10158,2.1197882e-11
10159,0.99996793
1016,0.9993503
10160,7.265828e-05
10161,0.025887072
10162,0.99997586
10163,1.0
10164,0.99978447
10165,0.99999213
10166,0.9999559
10167,0.99999785
10168,0.47792256
10169,0.99999964
1017,5.4620084e-08
10170,2.8902386e-10
10171,2.8590198e-17
10172,0.99999404
10173,4.891087e-06
10174,0.00051012635
10175,1.2703596e-07
10176,1.0
10177,0.99993026
10178,1.2386634e-08
10179,0.9999017
1018,0.8820245
10180,1.6775386e-05
10181,0.99817455
10182,0.00012752414
10183,0.6930189
10184,1.0071687e-11
10185,0.9999808
10186,0.99968815
10187,0.9999997
10188,0.00092452765
10189,1.0
1019,1.0
10190,0.99999976
10191,3.2364907e-12
10192,0.9983554
10193,0.00056922436
10194,2.675004e-07
10195,1.0
10196,1.0
10197,1.0
10198,6.486134e-12
10199,1.3848132e-15
102,0.99999976
1020,5.4833904e-14
10200,6.4409456e-10
10201,6.52093e-08
10202,1.0
10203,1.0
10204,1.4487446e-05
10205,6.112566e-11
10206,4.2205666e-05
10207,0.9999357
10208,1.0
10209,0.986086
1021,0.00028717518
10210,1.3054354e-15
10211,8.667103e-11
10212,6.085214e-16
10213,0.9999683
10214,1.0
10215,5.9150135e-20
10216,0.9435266
10217,0.99996865
10218,3.9875942e-19
10219,0.8046781
1022,6.23484e-14
10220,1.0
10221,0.999901
10222,0.9988946
10223,1.687761e-12
10224,4.5332352e-05
10225,8.187781e-06
10226,0.012150466
10227,1.0178595e-08
10228,6.912628e-07
10229,0.0018590093
1023,7.399124e-08
10230,0.7471807
10231,0.9999913
10232,1.0
10233,0.99920213
10234,5.8763605e-10
10235,2.1809272e-09
10236,5.3726116e-12
10237,1.4901785e-10
10238,0.99616075
10239,0.0005301535
1024,0.0008520782
10240,3.5510933e-08
10241,1.0
10242,1.0
10243,0.99959385
10244,1.0
10245,1.0
10246,0.9936023
10247,1.0
10248,0.41933176
10249,0.9999988
1025,2.9587248e-12
10250,5.88246e-14
10251,0.9777292
10252,7.154058e-08
10253,0.99999964
10254,1.0
10255,0.9999989
10256,0.99999845
10257,2.8012757e-06
10258,1.0
10259,0.9999832
1026,0.004964143
10260,0.0038654506
10261,0.99999905
10262,0.9999957
10263,1.0
10264,0.00012062474
10265,1.609413e-05
10266,3.4783532e-08
10267,3.62126e-10
10268,0.999998
10269,1.0
1027,4.2583208e-16
10270,9.834682e-12
10271,1.0
10272,0.014835596
10273,0.00010706601
10274,2.0100675e-14
10275,0.99480045
10276,0.020869315
10277,0.04938528
10278,0.0005187094
10279,0.99993145
1028,4.3962636e-11
10280,0.0050060153
10281,1.0
10282,0.99435353
10283,0.99999905
10284,1.0
10285,0.99952793
10286,7.326792e-10
10287,2.9150335e-06
10288,0.0032670796
10289,1.0026785e-06
1029,3.5247186e-10
10290,0.29350173
10291,0.99989355
10292,7.209591e-08
10293,1.0
10294,1.4711763e-12
10295,0.0013144612
10296,5.2302265e-05
10297,0.99999976
10298,0.9780095
10299,0.0041470528
103,1.0114756e-14
1030,2.3026061e-15
10300,0.9998733
10301,2.0166852e-28
10302,0.99631137
10303,0.033790916
10304,1.0
10305,1.0
10306,0.99992293
10307,0.9842347
10308,1.9707865e-07
10309,3.8904418e-05
1031,0.0055793226
10310,0.74591213
10311,4.3090664e-09
10312,9.690282e-12
10313,0.9999994
10314,2.987409e-05
10315,1.0
10316,0.99413145
10317,1.0
10318,8.652595e-16
10319,0.13136375
1032,0.9999546
10320,1.0
10321,1.0
10322,0.9999931
10323,0.8781563
10324,0.99999535
10325,5.6516427e-07
10326,0.99639094
10327,0.9999944
10328,6.1265364e-06
10329,0.99999964
1033,0.008558661
10330,2.559897e-06
10331,1.1438862e-12
10332,1.0
10333,0.009665638
10334,6.2331798e-09
10335,1.0
10336,2.0964305e-06
10337,0.7642457
10338,0.84201115
10339,1.0
1034,1.0
10340,2.5878138e-11
10341,1.6355389e-05
10342,1.0
10343,1.3082392e-12
10344,0.9564364
10345,0.99995756
10346,2.4173294e-12
10347,0.27376
10348,0.9996083
10349,0.99999964
1035,5.6214976e-05
10350,0.99984926
10351,1.2621032e-13
10352,0.99753773
10353,5.5585087e-08
10354,0.99737126
10355,1.0
10356,8.339868e-05
10357,0.99871624
10358,2.1978428e-06
10359,0.9999995
1036,1.0
10360,1.6264029e-10
10361,6.0634957e-18
10362,1.568557e-06
10363,6.4297665e-09
10364,0.9999986
10365,0.0013813972
10366,0.9999994
10367,0.9993988
10368,1.0
10369,3.772555e-05
1037,0.99975026
10370,0.99883497
10371,0.37612855
10372,0.9978747
10373,5.1187784e-05
10374,0.99966204
10375,2.3661554e-05
10376,1.595835e-20
10377,1.8255466e-07
10378,3.9640767e-05
10379,0.9943881
1038,0.9999999
10380,1.0
10381,2.5194067e-06
10382,4.4284807e-05
10383,1.5924104e-10
10384,1.0
10385,1.0
10386,0.0017402172
10387,0.99999976
10388,2.0696094e-11
10389,1.8627025e-11
1039,4.628393e-18
10390,1.0
10391,4.040596e-05
10392,0.00077185035
10393,2.0957232e-15
10394,7.772325e-08
10395,0.9974376
10396,0.99990696
10397,3.080326e-09
10398,5.238812e-09
10399,1.0
104,1.8459544e-07
1040,0.99999976
10400,1.0
10401,0.00029411912
10402,1.1685886e-10
10403,1.0
10404,0.011958271
10405,6.162999e-11
10406,0.99652576
10407,1.84427e-11
10408,0.97794425
10409,0.99993634
1041,0.00014266372
10410,2.1452242e-16
10411,0.28655678
10412,3.571279e-07
10413,7.41073e-09
10414,0.99565184
10415,1.0
10416,2.1713268e-07
10417,6.4724975e-10
10418,3.6459212e-16
10419,1.0
1042,0.35134745
10420,0.9999399
10421,0.99999547
10422,0.14001378
10423,5.9150135e-20
10424,7.472131e-05
10425,0.99997914
10426,4.642307e-06
10427,0.9997977
10428,0.15933484
10429,0.96418583
1043,7.966519e-06
10430,7.0846427e-06
10431,7.803217e-09
10432,0.9999256
10433,1.0
10434,1.0
10435,1.3971433e-06
10436,0.99959743
10437,5.749111e-06
10438,0.9999997
10439,0.025848389
1044,1.0
10440,2.8081698e-07
10441,3.5182923e-09
10442,0.9751683
10443,1.0
10444,0.99969363
10445,1.0
10446,0.9975319
10447,0.99928343
10448,1.0
10449,0.9999857
1045,0.9570595
10450,0.0059574842
10451,4.448294e-20
10452,0.33601254
10453,0.92823505
10454,3.8924645e-05
10455,0.016934633
10456,0.05235073
10457,1.4609993e-06
10458,0.99999905
10459,0.0066818297
1046,2.7156152e-06
10460,0.029764295
10461,1.8441662e-13
10462,0.9649171
10463,1.8617715e-06
10464,1.0
10465,0.99980736
10466,1.0
10467,1.152154e-09
10468,2.9087005e-07
10469,5.210829e-09
1047,2.5397053e-09
10470,3.8268486e-10
10471,4.4362725e-08
10472,4.0012974e-13
10473,0.9999999
10474,0.9999865
10475,1.1780806e-16
10476,0.9999721
10477,7.306794e-06
10478,1.0
10479,0.99279
1048,0.997905
10480,3.9340455e-09
10481,2.1746922e-09
10482,9.0363256e-10
10483,9.986006e-13
10484,0.9999229
10485,0.97684157
10486,3.5694725e-06
10487,0.99999976
10488,0.99179584
10489,1.2284434e-07
1049,9.478608e-10
10490,1.0
10491,4.7061647e-05
10492,1.0
10493,0.03871727
10494,0.9825007
10495,1.6200577e-08
10496,1.0
10497,0.9997964
10498,3.932847e-08
10499,1.0
105,0.99999875
1050,2.6999933e-05
10500,1.0
10501,0.9233082
10502,0.9999939
10503,2.6009904e-08
10504,0.999639
10505,0.9998255
10506,1.7554185e-20
10507,0.8750279
10508,0.006884396
10509,0.99976665
1051,0.0006890893
10510,4.303309e-05
10511,3.6450234e-09
10512,0.019551635
10513,9.481766e-15
10514,1.0
10515,2.027451e-06
10516,1.0
10517,0.9999689
10518,0.9999884
10519,1.0693711e-06
1052,0.98789895
10520,0.99836063
10521,1.5990418e-07
10522,0.9496608
10523,1.0
10524,0.99999857
10525,0.9600445
10526,1.0
10527,5.322266e-07
